time,total,gasoline,diesel,fgas,ngas,electricity,petroleum,hydrogen,methanol,ethanol,pluginhybrid,otherfuels,year
2018-01-01 00:00:00+00:00,2.930483,1781826,1136656,12,256,9304,0,81,0,0,2340,8,2018.0
2018-02-01 00:00:00+00:00,2.934044,1783338,1138414,12,255,9343,0,80,0,0,2593,9,2018.0833333333333
2018-03-01 00:00:00+00:00,2.941422,1787219,1141576,12,257,9399,0,77,0,0,2873,9,2018.1666666666667
2018-04-01 00:00:00+00:00,2.951498,1793554,1144846,12,257,9548,0,77,0,0,3195,9,2018.25
2018-05-01 00:00:00+00:00,2.963093,1799795,1149840,12,256,9665,0,77,0,0,3439,9,2018.3333333333333
2018-06-01 00:00:00+00:00,2.973721,1805170,1154651,12,262,9807,0,77,0,0,3734,8,2018.4166666666667
2018-07-01 00:00:00+00:00,2.976096,1806338,1155420,12,262,9853,0,77,0,0,4126,8,2018.5
2018-08-01 00:00:00+00:00,2.985537,1810615,1159907,12,261,10002,0,80,0,0,4652,8,2018.5833333333333
2018-09-01 00:00:00+00:00,2.983209,1808496,1159418,11,261,10120,0,82,0,0,4812,9,2018.6666666666667
2018-10-01 00:00:00+00:00,2.982473,1806710,1160162,11,263,10236,0,82,0,0,5000,9,2018.75
2018-11-01 00:00:00+00:00,2.98453,1807349,1161075,10,262,10462,0,84,0,0,5280,8,2018.8333333333333
2018-12-01 00:00:00+00:00,2.984123,1807476,1160163,10,268,10707,0,84,0,0,5407,8,2018.9166666666667
2019-01-01 00:00:00+00:00,2.988432,1811175,1160031,9,269,10978,0,84,0,0,5878,8,2019.0
2019-02-01 00:00:00+00:00,2.991279,1814823,1158555,9,269,11220,0,84,0,0,6311,8,2019.0833333333333
2019-03-01 00:00:00+00:00,3.002834,1823350,1160576,9,271,11783,0,83,0,0,6754,8,2019.1666666666667
2019-04-01 00:00:00+00:00,3.008125,1827495,1160974,9,278,12284,0,82,0,0,6996,7,2019.25
2019-05-01 00:00:00+00:00,3.016558,1833264,1163018,9,278,12635,0,82,0,0,7265,7,2019.3333333333333
2019-06-01 00:00:00+00:00,3.025807,1839254,1165383,9,278,13293,0,81,0,0,7501,8,2019.4166666666667
2019-07-01 00:00:00+00:00,3.027397,1840521,1165149,9,279,13502,0,80,0,0,7849,8,2019.5
2019-08-01 00:00:00+00:00,3.034273,1844552,1167160,9,280,13914,0,79,0,0,8271,8,2019.5833333333333
2019-09-01 00:00:00+00:00,3.03348,1843783,1165854,9,280,14726,0,80,0,0,8740,8,2019.6666666666667
2019-10-01 00:00:00+00:00,3.03097,1842547,1163706,9,281,15089,0,78,0,0,9253,7,2019.75
2019-11-01 00:00:00+00:00,3.03212,1843081,1163464,8,282,15436,0,77,0,0,9765,7,2019.8333333333333
2019-12-01 00:00:00+00:00,3.03209,1842935,1162271,8,279,16402,0,77,0,0,10111,7,2019.9166666666667
2020-01-01 00:00:00+00:00,3.036213,1845069,1162786,8,278,17012,0,71,0,0,10982,7,2020.0
2020-02-01 00:00:00+00:00,3.037617,1846587,1161404,8,278,17579,0,70,0,0,11684,7,2020.0833333333333
2020-03-01 00:00:00+00:00,3.036205,1845786,1158939,8,275,18739,0,69,0,0,12382,7,2020.1666666666667
2020-04-01 00:00:00+00:00,3.040346,1848858,1158945,8,275,19197,0,69,0,0,12987,7,2020.25
2020-05-01 00:00:00+00:00,3.04856,1853853,1160960,9,274,19670,0,69,0,0,13717,8,2020.3333333333333
2020-06-01 00:00:00+00:00,3.060994,1861049,1163611,10,273,20657,0,69,0,0,15317,8,2020.4166666666667
2020-07-01 00:00:00+00:00,3.072466,1867285,1165452,10,274,21298,0,69,0,0,18070,8,2020.5
2020-08-01 00:00:00+00:00,3.081409,1871511,1166320,10,275,22551,0,70,0,0,20664,8,2020.5833333333333
2020-09-01 00:00:00+00:00,3.085458,1872122,1165565,9,275,25196,0,71,0,0,22212,8,2020.6666666666667
2020-10-01 00:00:00+00:00,3.087414,1871200,1165088,9,275,26697,0,70,0,0,24067,8,2020.75
2020-11-01 00:00:00+00:00,3.091698,1871807,1164161,9,276,28905,0,72,0,0,26460,8,2020.8333333333333
2020-12-01 00:00:00+00:00,3.100222,1872367,1164096,9,277,33213,0,113,0,0,30139,8,2020.9166666666667
2021-01-01 00:00:00+00:00,3.139166,1870497,1202513,15,504,33877,0,112,0,0,31641,7,2021.0
2021-02-01 00:00:00+00:00,3.139557,1869976,1201267,15,504,34396,0,113,0,0,33279,7,2021.0833333333333
2021-03-01 00:00:00+00:00,3.154415,1876624,1201697,15,508,37038,0,106,0,0,38421,6,2021.1666666666667
2021-04-01 00:00:00+00:00,3.162174,1881357,1200063,16,520,38508,0,103,0,0,41601,6,2021.25
2021-05-01 00:00:00+00:00,3.173165,1886059,1200532,16,528,40312,0,103,0,0,45609,6,2021.3333333333333
2021-06-01 00:00:00+00:00,3.185814,1889904,1200901,17,536,43399,0,103,0,0,50948,6,2021.4166666666667
2021-07-01 00:00:00+00:00,3.191486,1891383,1199001,16,544,45602,0,105,0,0,54829,6,2021.5
2021-08-01 00:00:00+00:00,3.19945,1892844,1197141,16,548,49686,0,105,0,0,59104,6,2021.5833333333333
2021-09-01 00:00:00+00:00,3.200838,1889402,1193201,16,556,54264,0,108,0,0,63285,6,2021.6666666666667
2021-10-01 00:00:00+00:00,3.198798,1884435,1188145,16,570,58048,0,173,0,0,67406,5,2021.75
2021-11-01 00:00:00+00:00,3.198864,1880475,1182775,15,574,62943,0,173,0,0,71904,5,2021.8333333333333
2021-12-01 00:00:00+00:00,3.204309,1877565,1177906,15,600,69303,0,177,0,0,78738,5,2021.9166666666667
2022-01-01 00:00:00+00:00,3.202713,1876599,1173468,15,603,71966,0,178,0,0,79879,5,2022.0
2022-02-01 00:00:00+00:00,3.20372,1875644,1170587,15,598,74794,0,178,0,0,81899,5,2022.0833333333333
2022-03-01 00:00:00+00:00,3.209522,1876339,1167790,16,595,79797,0,176,0,0,84804,5,2022.1666666666667
2022-04-01 00:00:00+00:00,3.215399,1878587,1165947,19,594,83163,0,174,0,0,86910,5,2022.25
2022-05-01 00:00:00+00:00,3.21942,1879154,1162839,19,596,87042,0,174,0,0,89591,5,2022.3333333333333
2022-06-01 00:00:00+00:00,3.223647,1877996,1160297,18,598,91765,0,168,0,0,92800,5,2022.4166666666667
2022-07-01 00:00:00+00:00,3.222857,1875337,1156680,17,597,95105,0,165,0,0,94952,4,2022.5
2022-08-01 00:00:00+00:00,3.223624,1873919,1152593,14,591,99016,0,167,0,0,97321,3,2022.5833333333333
2022-09-01 00:00:00+00:00,3.218379,1869041,1146413,14,588,103010,0,151,0,0,99159,3,2022.6666666666667
2022-10-01 00:00:00+00:00,3.210424,1863468,1139461,14,585,106122,0,149,0,0,100622,3,2022.75
2022-11-01 00:00:00+00:00,3.207359,1859966,1133534,14,591,110404,0,150,0,0,102697,3,2022.8333333333333
2022-12-01 00:00:00+00:00,3.209511,1856955,1128321,14,583,117266,0,151,0,0,106218,3,2022.9166666666667
2023-01-01 00:00:00+00:00,3.205688,1855921,1122252,15,579,119906,0,147,0,0,106865,3,2023.0
2023-02-01 00:00:00+00:00,3.204567,1854688,1116931,14,593,124147,0,150,0,0,108037,7,2023.0833333333333
2023-03-01 00:00:00+00:00,3.210827,1854970,1112996,15,591,132232,0,145,0,0,109869,9,2023.1666666666667
2023-04-01 00:00:00+00:00,3.216852,1857177,1110303,15,594,137237,0,144,0,0,111370,12,2023.25
2023-05-01 00:00:00+00:00,3.221263,1857048,1106950,16,577,143556,0,143,0,0,112957,16,2023.3333333333333
2023-06-01 00:00:00+00:00,3.228278,1856649,1103078,16,558,152173,0,142,0,0,115643,19,2023.4166666666667
2023-07-01 00:00:00+00:00,3.227684,1854612,1097265,16,556,158000,0,141,0,0,117078,16,2023.5
2023-08-01 00:00:00+00:00,3.228835,1851651,1091900,16,552,166046,0,138,0,0,118515,17,2023.5833333333333
2023-09-01 00:00:00+00:00,3.226588,1845911,1084498,16,550,175592,0,88,0,0,119917,16,2023.6666666666667
2023-10-01 00:00:00+00:00,3.220559,1838787,1075629,16,533,184125,0,65,0,0,121388,16,2023.75
2023-11-01 00:00:00+00:00,3.22192,1835019,1068514,16,533,194948,0,59,0,0,122815,16,2023.8333333333333
2023-12-01 00:00:00+00:00,3.227541,1831941,1062385,16,533,207888,0,47,0,0,124717,14,2023.9166666666667
